MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65108-63115,65108-89675,65108-23045,65108-64242,65108-86687,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65108-86687,65108-63115,65108-69213,65108-63791,65108-53390,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65108-89675,65108-34331,65108-52436,65108-24641,65108-60977,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65108-63115,65108-23045,65108-86687,65108-69213,65108-53390,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65108-86687,65108-89675,65108-64242,65108-63115,65108-60977,,,,,,,,,,,,,,,,,,,
65108-23045,65108-34331,65108-52436,65108-63791,65108-24641,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65108-63115,65108-89675,65108-23045,65108-86687,65108-24641,,65108-63115:Lamar Jackson,65108-63115,QB,Lamar,Lamar Jackson,Jackson,22.9950008392334,4,17000,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65108-86687,65108-63115,65108-63791,65108-60977,65108-53390,,65108-70324:Carson Wentz,65108-70324,QB,Carson,Carson Wentz,Wentz,15.6499996185303,4,14000,IND@BAL,IND,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
65108-63115,65108-23045,65108-86687,65108-60977,65108-53390,,65108-86687:Marquise Brown,65108-86687,WR,Marquise,Marquise Brown,Brown,15.1499996185303,4,13500,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65108-86687,65108-89675,65108-64242,65108-63115,65108-69213,,65108-89675:Jonathan Taylor,65108-89675,RB,Jonathan,Jonathan Taylor,Taylor,11.75,4,13000,IND@BAL,IND,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
65108-23045,65108-64242,65108-52436,65108-69213,65108-63791,,65108-52436:Mark Andrews,65108-52436,TE,Mark,Mark Andrews,Andrews,8.57499980926514,4,12000,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65108-63115,65108-23045,65108-86687,65108-63791,65108-53390,,65108-69213:Michael Pittman Jr.,65108-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,9.97500038146973,4,11000,IND@BAL,IND,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
65108-86687,65108-89675,65108-64242,65108-63115,65108-24641,,65108-34331:Latavius Murray,65108-34331,RB,Latavius,Latavius Murray,Murray,8.27499961853027,4,10000,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65108-63115,65108-23045,65108-86687,65108-69213,65108-63791,,65108-60977:Ty'Son Williams,65108-60977,RB,Ty'Son,Ty'Son Williams,Williams,9.79999987284342,3,10000,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65108-86687,65108-89675,65108-64242,65108-63115,65108-53390,,65108-53390:Zach Pascal,65108-53390,WR,Zach,Zach Pascal,Pascal,10.2749996185303,4,9500,IND@BAL,IND,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
65108-23045,65108-52436,65108-69213,65108-24641,65108-60977,,65108-23045:Justin Tucker,65108-23045,K,Justin,Justin Tucker,Tucker,12,4,9000,IND@BAL,BAL,IND,,,,,,MVP - 1.5X Points/AnyFLEX
